ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-11-18,70934.55457816421,-22298.41732891352,35588.23532099896,70934.55457816421,70934.55457816421,-65837.50322387484,-65837.50322387484,-65837.50322387484,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434835948,-1794.1471434835948,-1794.1471434835948,-33386.10788463724,-33386.10788463724,-33386.10788463724,0.0,0.0,0.0,5097.051354289375
2025-11-19,71336.01695333926,-20117.215795530676,37191.22734153697,71336.01695333926,71336.01695333926,-62203.88911342068,-62203.88911342068,-62203.88911342068,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630195946,920.8536630195946,920.8536630195946,-32467.494580686263,-32467.494580686263,-32467.494580686263,0.0,0.0,0.0,9132.127839918583
2025-11-20,71737.47932851431,-22551.62636981583,39198.73579516372,71737.47932851431,71737.47932851431,-63764.89438554385,-63764.89438554385,-63764.89438554385,-30657.248195754,-30657.248195754,-30657.248195754,-1600.431036873713,-1600.431036873713,-1600.431036873713,-31507.215152916124,-31507.215152916124,-31507.215152916124,0.0,0.0,0.0,7972.584942970461
2025-11-21,72138.94170368937,-12141.868659736861,49313.20655000425,72138.94170368937,72138.94170368937,-54549.18951133856,-54549.18951133856,-54549.18951133856,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134644785,6641.878134644785,6641.878134644785,-30533.81945022934,-30533.81945022934,-30533.81945022934,0.0,0.0,0.0,17589.75219235081
2025-11-22,72540.4040788644,-20152.36575171189,40064.639451603754,72540.4040788644,72540.4040788644,-62138.79326953593,-62138.79326953593,-62138.79326953593,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792819005776,-1903.3792819005776,-1903.3792819005776,-29578.165791881347,-29578.165791881347,-29578.165791881347,0.0,0.0,0.0,10401.610809328478
2025-11-23,72941.86645403947,-18381.059989084548,40548.14860467453,72941.86645403947,72941.86645403947,-61236.63564395778,-61236.63564395778,-61236.63564395778,-30657.248195754,-30657.248195754,-30657.248195754,-1906.682788432981,-1906.682788432981,-1906.682788432981,-28672.704659770792,-28672.704659770792,-28672.704659770792,0.0,0.0,0.0,11705.230810081688
2025-11-24,73343.3288292145,-15633.675515122657,45034.43515680237,73343.3288292145,73343.3288292145,-58866.01812879167,-58866.01812879167,-58866.01812879167,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469901327,-358.0915469901327,-358.0915469901327,-27850.678386047544,-27850.678386047544,-27850.678386047544,0.0,0.0,0.0,14477.31070042283
2025-11-25,73744.79120438956,-17402.97689680157,45545.71279021943,73744.79120438956,73744.79120438956,-59596.649983931384,-59596.649983931384,-59596.649983931384,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434708687,-1794.1471434708687,-1794.1471434708687,-27145.254644706518,-27145.254644706518,-27145.254644706518,0.0,0.0,0.0,14148.14122045818
2025-11-26,74146.2535795646,-13065.735274332268,46108.67032195306,74146.2535795646,74146.2535795646,-56325.00860808164,-56325.00860808164,-56325.00860808164,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630223838,920.8536630223838,920.8536630223838,-26588.614075350026,-26588.614075350026,-26588.614075350026,0.0,0.0,0.0,17821.244971482956
2025-11-27,74547.71595473966,-14062.551939279636,45288.43459675318,74547.71595473966,74547.71595473966,-58468.69365258385,-58468.69365258385,-58468.69365258385,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368709364,-1600.4310368709364,-1600.4310368709364,-26211.014419958912,-26211.014419958912,-26211.014419958912,0.0,0.0,0.0,16079.022302155812
