ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-06-01,2685.9546868918883,-32609.478585917885,28733.762686258327,2685.9546868918883,2685.9546868918883,-5123.382149481874,-5123.382149481874,-5123.382149481874,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884187878,-1906.6827884187878,-1906.6827884187878,27440.548834690915,27440.548834690915,27440.548834690915,0.0,0.0,0.0,-2437.4274625899857
2025-06-02,3087.4170501665812,-29418.525172626338,29814.401146772725,3087.4170501665812,3087.4170501665812,-3863.4727701692223,-3863.4727701692223,-3863.4727701692223,-30657.248195754,-30657.248195754,-30657.248195754,-358.09154697883304,-358.09154697883304,-358.09154697883304,27151.86697256361,27151.86697256361,27151.86697256361,0.0,0.0,0.0,-776.055720002641
2025-06-03,3488.8794134412756,-30703.688855809134,28114.08050257679,3488.8794134412756,3488.8794134412756,-5574.470074795418,-5574.470074795418,-5574.470074795418,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471435089375,-1794.1471435089375,-1794.1471435089375,26876.92526446752,26876.92526446752,26876.92526446752,0.0,0.0,0.0,-2085.590661354143
2025-06-04,3890.3417767159704,-28592.745407747334,29649.96252354234,3890.3417767159704,3890.3417767159704,-3125.7619844238975,-3125.7619844238975,-3125.7619844238975,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630251285,920.8536630251285,920.8536630251285,26610.632548304977,26610.632548304977,26610.632548304977,0.0,0.0,0.0,764.5797922920729
2025-06-05,4291.804139990667,-30661.731338061505,26882.186775945378,4291.804139990667,4291.804139990667,-5909.976433730567,-5909.976433730567,-5909.976433730567,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368611011,-1600.4310368611011,-1600.4310368611011,26347.702798884533,26347.702798884533,26347.702798884533,0.0,0.0,0.0,-1618.1722937399
2025-06-06,4693.2665032653595,-20962.097246964717,35602.77641105628,4693.2665032653595,4693.2665032653595,2067.4667754664506,2067.4667754664506,2067.4667754664506,-30657.248195754,-30657.248195754,-30657.248195754,6641.8781346491605,6641.8781346491605,6641.8781346491605,26082.83683657129,26082.83683657129,26082.83683657129,0.0,0.0,0.0,6760.73327873181
2025-06-07,5094.728866540056,-32687.010374980644,26959.728424127847,5094.728866540056,5094.728866540056,-6749.724246057957,-6749.724246057957,-6749.724246057957,-30657.248195754,-30657.248195754,-30657.248195754,-1903.379281900142,-1903.379281900142,-1903.379281900142,25810.903231596185,25810.903231596185,25810.903231596185,0.0,0.0,0.0,-1654.9953795179017
2025-06-08,5496.191229814749,-32330.927817670068,30095.034321092608,5496.191229814749,5496.191229814749,-7036.818572538348,-7036.818572538348,-7036.818572538348,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884233014,-1906.6827884233014,-1906.6827884233014,25527.112411638955,25527.112411638955,25527.112411638955,0.0,0.0,0.0,-1540.6273427235992
2025-06-09,5897.653582787827,-28086.112603181773,29789.748218077275,5897.653582787827,5897.653582787827,-5788.161531477445,-5788.161531477445,-5788.161531477445,-30657.248195754,-30657.248195754,-30657.248195754,-358.09154699332936,-358.09154699332936,-358.09154699332936,25227.178211269886,25227.178211269886,25227.178211269886,0.0,0.0,0.0,109.49205131038161
2025-06-10,6299.1159357609085,-30609.892982499998,30903.80714539676,6299.1159357609085,6299.1159357609085,-7543.933813056741,-7543.933813056741,-7543.933813056741,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434962107,-1794.1471434962107,-1794.1471434962107,24907.46152619347,24907.46152619347,24907.46152619347,0.0,0.0,0.0,-1244.8178772958327
